# Generated by tools/hexagon-diff/gen_cases.py from the Hexagon spec.
# TAG<TAB>ASM<TAB>word0,word1,...   (mcpu=hexagonv68)
A2_abs	R0=abs(R4)	8c84c080
C4_nbitsclri	P0=!bitsclr(R4,#31)	85a4df00
C4_nbitsclri	P0=!bitsclr(R4,#63)	85a4ff00
C4_nbitsset	P0=!bitsset(R4,R6)	c764c600
C4_or_and	P0=or(P1,and(P2,P3))	6b51c2c0
C4_or_andn	P0=or(P1,and(P2,!P3))	6bd1c2c0
C4_or_or	P0=or(P1,or(P2,P3))	6b71c2c0
C4_or_orn	P0=or(P1,or(P2,!P3))	6bf1c2c0
F2_conv_d2df	R1:0=convert_d2df(R5:4)	80e4c060
F2_conv_d2sf	R0=convert_d2sf(R5:4)	8844c020
F2_conv_df2d	R1:0=convert_df2d(R5:4)	80e4c000
F2_conv_df2d_chop	R1:0=convert_df2d(R5:4):chop	80e4c0c0
F2_conv_df2sf	R0=convert_df2sf(R5:4)	8804c020
F2_conv_df2ud	R1:0=convert_df2ud(R5:4)	80e4c020
F2_conv_df2ud_chop	R1:0=convert_df2ud(R5:4):chop	80e4c0e0
F2_conv_df2uw	R0=convert_df2uw(R5:4)	8864c020
F2_conv_df2uw_chop	R0=convert_df2uw(R5:4):chop	88a4c020
F2_conv_df2w	R0=convert_df2w(R5:4)	8884c020
F2_conv_df2w_chop	R0=convert_df2w(R5:4):chop	88e4c020
F2_conv_sf2d	R1:0=convert_sf2d(R4)	8484c080
F2_conv_sf2d_chop	R1:0=convert_sf2d(R4):chop	8484c0c0
F2_conv_sf2df	R1:0=convert_sf2df(R4)	8484c000
F2_conv_sf2ud	R1:0=convert_sf2ud(R4)	8484c060
F2_conv_sf2ud_chop	R1:0=convert_sf2ud(R4):chop	8484c0a0
F2_conv_sf2uw	R0=convert_sf2uw(R4)	8b64c000
F2_conv_sf2uw_chop	R0=convert_sf2uw(R4):chop	8b64c020
F2_conv_sf2w	R0=convert_sf2w(R4)	8b84c000
F2_conv_sf2w_chop	R0=convert_sf2w(R4):chop	8b84c020
F2_conv_ud2df	R1:0=convert_ud2df(R5:4)	80e4c040
F2_conv_ud2sf	R0=convert_ud2sf(R5:4)	8824c020
F2_conv_uw2df	R1:0=convert_uw2df(R4)	8484c020
F2_conv_uw2sf	R0=convert_uw2sf(R4)	8b24c000
F2_conv_w2df	R1:0=convert_w2df(R4)	8484c040
F2_conv_w2sf	R0=convert_w2sf(R4)	8b44c000
F2_dfadd	R1:0=dfadd(R5:4,R7:6)	e804c660
F2_dfclass	P0=dfclass(R5:4,#0)	dc84c010
F2_dfclass	P0=dfclass(R5:4,#1)	dc84c030
F2_dfclass	P0=dfclass(R5:4,#15)	dc84c1f0
F2_dfclass	P0=dfclass(R5:4,#3)	dc84c070
F2_dfclass	P0=dfclass(R5:4,#31)	dc84c3f0
F2_dfcmpeq	P0=dfcmp.eq(R5:4,R7:6)	d2e4c600
F2_dfcmpge	P0=dfcmp.ge(R5:4,R7:6)	d2e4c640
F2_dfcmpgt	P0=dfcmp.gt(R5:4,R7:6)	d2e4c620
F2_dfcmpuo	P0=dfcmp.uo(R5:4,R7:6)	d2e4c660
F2_dfimm_n	R1:0=dfmake(#0):neg	d940c000
F2_dfimm_n	R1:0=dfmake(#1):neg	d940c020
F2_dfimm_n	R1:0=dfmake(#1023):neg	d960ffe0
F2_dfimm_n	R1:0=dfmake(#3):neg	d940c060
F2_dfimm_n	R1:0=dfmake(#511):neg	d940ffe0
F2_dfimm_p	R1:0=dfmake(#0):pos	d900c000
F2_dfimm_p	R1:0=dfmake(#1):pos	d900c020
F2_dfimm_p	R1:0=dfmake(#1023):pos	d920ffe0
F2_dfimm_p	R1:0=dfmake(#3):pos	d900c060
F2_dfimm_p	R1:0=dfmake(#511):pos	d900ffe0
F2_dfmax	R1:0=dfmax(R5:4,R7:6)	e824c660
F2_dfmin	R1:0=dfmin(R5:4,R7:6)	e8c4c660
F2_dfmpyfix	R1:0=dfmpyfix(R5:4,R7:6)	e844c660
F2_dfmpyhh	R1:0+=dfmpyhh(R5:4,R7:6)	ea84c660
F2_dfmpylh	R1:0+=dfmpylh(R5:4,R7:6)	ea04c660
F2_dfmpyll	R1:0=dfmpyll(R5:4,R7:6)	e8a4c660
F2_dfsub	R1:0=dfsub(R5:4,R7:6)	e884c660
F2_sfadd	R0=sfadd(R4,R6)	eb04c600
F2_sfclass	P0=sfclass(R4,#0)	85e4c000
F2_sfclass	P0=sfclass(R4,#1)	85e4c100
F2_sfclass	P0=sfclass(R4,#15)	85e4cf00
F2_sfclass	P0=sfclass(R4,#3)	85e4c300
F2_sfclass	P0=sfclass(R4,#31)	85e4df00
F2_sfcmpeq	P0=sfcmp.eq(R4,R6)	c7e4c660
F2_sfcmpge	P0=sfcmp.ge(R4,R6)	c7e4c600
F2_sfcmpgt	P0=sfcmp.gt(R4,R6)	c7e4c680
F2_sfcmpuo	P0=sfcmp.uo(R4,R6)	c7e4c620
F2_sffixupd	R0=sffixupd(R4,R6)	ebc4c620
F2_sffixupn	R0=sffixupn(R4,R6)	ebc4c600
F2_sffixupr	R0=sffixupr(R4)	8ba4c000
F2_sffma	R0+=sfmpy(R4,R6)	ef04c680
F2_sffma_lib	R0+=sfmpy(R4,R6):lib	ef04c6c0
F2_sffma_sc	R0+=sfmpy(R4,R6,P3):scale	ef64c6e0
F2_sffms	R0-=sfmpy(R4,R6)	ef04c6a0
F2_sffms_lib	R0-=sfmpy(R4,R6):lib	ef04c6e0
F2_sfimm_n	R0=sfmake(#0):neg	d640c000
F2_sfimm_n	R0=sfmake(#1):neg	d640c020
F2_sfimm_n	R0=sfmake(#1023):neg	d660ffe0
F2_sfimm_n	R0=sfmake(#3):neg	d640c060
F2_sfimm_n	R0=sfmake(#511):neg	d640ffe0
F2_sfimm_p	R0=sfmake(#0):pos	d600c000
F2_sfimm_p	R0=sfmake(#1):pos	d600c020
F2_sfimm_p	R0=sfmake(#1023):pos	d620ffe0
F2_sfimm_p	R0=sfmake(#3):pos	d600c060
F2_sfimm_p	R0=sfmake(#511):pos	d600ffe0
F2_sfinvsqrta	R0,P1=sfinvsqrta(R4)	8be4c020
F2_sfmax	R0=sfmax(R4,R6)	eb84c600
F2_sfmin	R0=sfmin(R4,R6)	eb84c620
F2_sfmpy	R0=sfmpy(R4,R6)	eb44c600
F2_sfrecipa	R0,P1=sfrecipa(R4,R6)	ebe4c6a0
F2_sfsub	R0=sfsub(R4,R6)	eb04c620
M2_acci	R0+=add(R4,R6)	ef04c620
M2_accii	R0+=add(R4,#-128)	e204d000
M2_accii	R0+=add(R4,#-3)	e204dfa0
M2_accii	R0+=add(R4,#0)	e204c000
M2_accii	R0+=add(R4,#127)	e204cfe0
M2_accii	R0+=add(R4,#63)	e204c7e0
M2_cmaci_s0	R1:0+=cmpyi(R4,R6)	e704c620
M2_cmacr_s0	R1:0+=cmpyr(R4,R6)	e704c640
M2_cmacs_s0	R1:0+=cmpy(R4,R6):sat	e704c6c0
M2_cmacs_s1	R1:0+=cmpy(R4,R6):<<1:sat	e784c6c0
M2_cmacsc_s0	R1:0+=cmpy(R4,R6*):sat	e744c6c0
M2_cmacsc_s1	R1:0+=cmpy(R4,R6*):<<1:sat	e7c4c6c0
M2_cmpyi_s0	R1:0=cmpyi(R4,R6)	e504c620
M2_cmpyr_s0	R1:0=cmpyr(R4,R6)	e504c640
M2_cmpyrs_s0	R0=cmpy(R4,R6):rnd:sat	ed24c6c0
M2_cmpyrs_s1	R0=cmpy(R4,R6):<<1:rnd:sat	eda4c6c0
M2_cmpyrsc_s0	R0=cmpy(R4,R6*):rnd:sat	ed64c6c0
M2_cmpyrsc_s1	R0=cmpy(R4,R6*):<<1:rnd:sat	ede4c6c0
M2_cmpys_s0	R1:0=cmpy(R4,R6):sat	e504c6c0
M2_cmpys_s1	R1:0=cmpy(R4,R6):<<1:sat	e584c6c0
M2_cmpysc_s0	R1:0=cmpy(R4,R6*):sat	e544c6c0
M2_cmpysc_s1	R1:0=cmpy(R4,R6*):<<1:sat	e5c4c6c0
M2_cnacs_s0	R1:0-=cmpy(R4,R6):sat	e704c6e0
M2_cnacs_s1	R1:0-=cmpy(R4,R6):<<1:sat	e784c6e0
M2_cnacsc_s0	R1:0-=cmpy(R4,R6*):sat	e744c6e0
M2_cnacsc_s1	R1:0-=cmpy(R4,R6*):<<1:sat	e7c4c6e0
M2_dpmpyss_acc_s0	R1:0+=mpy(R4,R6)	e704c600
M2_dpmpyss_nac_s0	R1:0-=mpy(R4,R6)	e724c600
M2_dpmpyss_rnd_s0	R0=mpy(R4,R6):rnd	ed24c620
M2_dpmpyss_s0	R1:0=mpy(R4,R6)	e504c600
M2_dpmpyuu_acc_s0	R1:0+=mpyu(R4,R6)	e744c600
M2_dpmpyuu_nac_s0	R1:0-=mpyu(R4,R6)	e764c600
M2_dpmpyuu_s0	R1:0=mpyu(R4,R6)	e544c600
M2_maci	R0+=mpyi(R4,R6)	ef04c600
M2_macsin	R0-=mpyi(R4,#0)	e184c000
M2_macsin	R0-=mpyi(R4,#1)	e184c020
M2_macsin	R0-=mpyi(R4,#127)	e184cfe0
M2_macsin	R0-=mpyi(R4,#255)	e184dfe0
M2_macsin	R0-=mpyi(R4,#3)	e184c060
M2_macsip	R0+=mpyi(R4,#0)	e104c000
M2_macsip	R0+=mpyi(R4,#1)	e104c020
M2_macsip	R0+=mpyi(R4,#127)	e104cfe0
M2_macsip	R0+=mpyi(R4,#255)	e104dfe0
M2_macsip	R0+=mpyi(R4,#3)	e104c060
M2_mmachs_rs0	R1:0+=vmpywoh(R5:4,R7:6):rnd:sat	ea24c6e0
M2_mmachs_rs1	R1:0+=vmpywoh(R5:4,R7:6):<<1:rnd:sat	eaa4c6e0
M2_mmachs_s0	R1:0+=vmpywoh(R5:4,R7:6):sat	ea04c6e0
M2_mmachs_s1	R1:0+=vmpywoh(R5:4,R7:6):<<1:sat	ea84c6e0
M2_mmacls_rs0	R1:0+=vmpyweh(R5:4,R7:6):rnd:sat	ea24c6a0
M2_mmacls_rs1	R1:0+=vmpyweh(R5:4,R7:6):<<1:rnd:sat	eaa4c6a0
M2_mmacls_s0	R1:0+=vmpyweh(R5:4,R7:6):sat	ea04c6a0
M2_mmacls_s1	R1:0+=vmpyweh(R5:4,R7:6):<<1:sat	ea84c6a0
M2_mmacuhs_rs0	R1:0+=vmpywouh(R5:4,R7:6):rnd:sat	ea64c6e0
M2_mmacuhs_rs1	R1:0+=vmpywouh(R5:4,R7:6):<<1:rnd:sat	eae4c6e0
M2_mmacuhs_s0	R1:0+=vmpywouh(R5:4,R7:6):sat	ea44c6e0
M2_mmacuhs_s1	R1:0+=vmpywouh(R5:4,R7:6):<<1:sat	eac4c6e0
M2_mmaculs_rs0	R1:0+=vmpyweuh(R5:4,R7:6):rnd:sat	ea64c6a0
M2_mmaculs_rs1	R1:0+=vmpyweuh(R5:4,R7:6):<<1:rnd:sat	eae4c6a0
M2_mmaculs_s0	R1:0+=vmpyweuh(R5:4,R7:6):sat	ea44c6a0
M2_mmaculs_s1	R1:0+=vmpyweuh(R5:4,R7:6):<<1:sat	eac4c6a0
M2_mmpyh_rs0	R1:0=vmpywoh(R5:4,R7:6):rnd:sat	e824c6e0
M2_mmpyh_rs1	R1:0=vmpywoh(R5:4,R7:6):<<1:rnd:sat	e8a4c6e0
M2_mmpyh_s0	R1:0=vmpywoh(R5:4,R7:6):sat	e804c6e0
M2_mmpyh_s1	R1:0=vmpywoh(R5:4,R7:6):<<1:sat	e884c6e0
M2_mmpyl_rs0	R1:0=vmpyweh(R5:4,R7:6):rnd:sat	e824c6a0
M2_mmpyl_rs1	R1:0=vmpyweh(R5:4,R7:6):<<1:rnd:sat	e8a4c6a0
M2_mmpyl_s0	R1:0=vmpyweh(R5:4,R7:6):sat	e804c6a0
M2_mmpyl_s1	R1:0=vmpyweh(R5:4,R7:6):<<1:sat	e884c6a0
M2_mmpyuh_rs0	R1:0=vmpywouh(R5:4,R7:6):rnd:sat	e864c6e0
M2_mmpyuh_rs1	R1:0=vmpywouh(R5:4,R7:6):<<1:rnd:sat	e8e4c6e0
M2_mmpyuh_s0	R1:0=vmpywouh(R5:4,R7:6):sat	e844c6e0
M2_mmpyuh_s1	R1:0=vmpywouh(R5:4,R7:6):<<1:sat	e8c4c6e0
M2_mmpyul_rs0	R1:0=vmpyweuh(R5:4,R7:6):rnd:sat	e864c6a0
M2_mmpyul_rs1	R1:0=vmpyweuh(R5:4,R7:6):<<1:rnd:sat	e8e4c6a0
M2_mmpyul_s0	R1:0=vmpyweuh(R5:4,R7:6):sat	e844c6a0
M2_mmpyul_s1	R1:0=vmpyweuh(R5:4,R7:6):<<1:sat	e8c4c6a0
M2_mnaci	R0-=mpyi(R4,R6)	ef84c600
M2_mpy_up	R0=mpy(R4,R6)	ed04c620
M2_mpy_up_s1	R0=mpy(R4,R6):<<1	eda4c640
M2_mpy_up_s1_sat	R0=mpy(R4,R6):<<1:sat	ede4c600
M2_mpyi	R0=mpyi(R4,R6)	ed04c600
M2_mpysin	R0=-mpyi(R4,#0)	e084c000
M2_mpysin	R0=-mpyi(R4,#1)	e084c020
M2_mpysin	R0=-mpyi(R4,#127)	e084cfe0
M2_mpysin	R0=-mpyi(R4,#255)	e084dfe0
M2_mpysin	R0=-mpyi(R4,#3)	e084c060
M2_mpysip	R0=+mpyi(R4,#0)	e004c000
M2_mpysip	R0=+mpyi(R4,#1)	e004c020
M2_mpysip	R0=+mpyi(R4,#127)	e004cfe0
M2_mpysip	R0=+mpyi(R4,#255)	e004dfe0
M2_mpysip	R0=+mpyi(R4,#3)	e004c060
M2_mpysu_up	R0=mpysu(R4,R6)	ed64c620
M2_mpyu_up	R0=mpyu(R4,R6)	ed44c620
M2_nacci	R0-=add(R4,R6)	ef84c620
M2_naccii	R0-=add(R4,#-128)	e284d000
M2_naccii	R0-=add(R4,#-3)	e284dfa0
M2_naccii	R0-=add(R4,#0)	e284c000
M2_naccii	R0-=add(R4,#127)	e284cfe0
M2_naccii	R0-=add(R4,#63)	e284c7e0
M2_subacc	R0+=sub(R6,R4)	ef04c660
M2_vabsdiffh	R1:0=vabsdiffh(R7:6,R5:4)	e864c600
M2_vabsdiffw	R1:0=vabsdiffw(R7:6,R5:4)	e824c600
M2_vcmac_s0_sat_i	R1:0+=vcmpyi(R5:4,R7:6):sat	ea44c680
M2_vcmac_s0_sat_r	R1:0+=vcmpyr(R5:4,R7:6):sat	ea24c680
M2_vcmpy_s0_sat_i	R1:0=vcmpyi(R5:4,R7:6):sat	e844c6c0
M2_vcmpy_s0_sat_r	R1:0=vcmpyr(R5:4,R7:6):sat	e824c6c0
M2_vcmpy_s1_sat_i	R1:0=vcmpyi(R5:4,R7:6):<<1:sat	e8c4c6c0
M2_vcmpy_s1_sat_r	R1:0=vcmpyr(R5:4,R7:6):<<1:sat	e8a4c6c0
M2_vdmacs_s0	R1:0+=vdmpy(R5:4,R7:6):sat	ea04c680
M2_vdmacs_s1	R1:0+=vdmpy(R5:4,R7:6):<<1:sat	ea84c680
M2_vdmpyrs_s0	R0=vdmpy(R5:4,R7:6):rnd:sat	e904c600
M2_vdmpyrs_s1	R0=vdmpy(R5:4,R7:6):<<1:rnd:sat	e984c600
M2_vdmpys_s0	R1:0=vdmpy(R5:4,R7:6):sat	e804c680
M2_vdmpys_s1	R1:0=vdmpy(R5:4,R7:6):<<1:sat	e884c680
M2_vmac2	R1:0+=vmpyh(R4,R6)	e724c620
M2_vmac2es	R1:0+=vmpyeh(R5:4,R7:6)	ea24c640
M2_vmac2es_s0	R1:0+=vmpyeh(R5:4,R7:6):sat	ea04c6c0
M2_vmac2es_s1	R1:0+=vmpyeh(R5:4,R7:6):<<1:sat	ea84c6c0
M2_vmac2s_s0	R1:0+=vmpyh(R4,R6):sat	e704c6a0
M2_vmac2s_s1	R1:0+=vmpyh(R4,R6):<<1:sat	e784c6a0
M2_vmac2su_s0	R1:0+=vmpyhsu(R4,R6):sat	e764c6a0
M2_vmac2su_s1	R1:0+=vmpyhsu(R4,R6):<<1:sat	e7e4c6a0
M2_vmpy2es_s0	R1:0=vmpyeh(R5:4,R7:6):sat	e804c6c0
M2_vmpy2es_s1	R1:0=vmpyeh(R5:4,R7:6):<<1:sat	e884c6c0
M2_vmpy2s_s0	R1:0=vmpyh(R4,R6):sat	e504c6a0
M2_vmpy2s_s0pack	R0=vmpyh(R4,R6):rnd:sat	ed24c6e0
M2_vmpy2s_s1	R1:0=vmpyh(R4,R6):<<1:sat	e584c6a0
M2_vmpy2s_s1pack	R0=vmpyh(R4,R6):<<1:rnd:sat	eda4c6e0
M2_vmpy2su_s0	R1:0=vmpyhsu(R4,R6):sat	e504c6e0
M2_vmpy2su_s1	R1:0=vmpyhsu(R4,R6):<<1:sat	e584c6e0
M2_vraddh	R0=vraddh(R5:4,R7:6)	e924c6e0
M2_vradduh	R0=vradduh(R5:4,R7:6)	e904c620
M2_vrcmaci_s0	R1:0+=vrcmpyi(R5:4,R7:6)	ea04c600
M2_vrcmaci_s0c	R1:0+=vrcmpyi(R5:4,R7:6*)	ea44c600
M2_vrcmacr_s0	R1:0+=vrcmpyr(R5:4,R7:6)	ea04c620
M2_vrcmacr_s0c	R1:0+=vrcmpyr(R5:4,R7:6*)	ea64c620
M2_vrcmpyi_s0	R1:0=vrcmpyi(R5:4,R7:6)	e804c600
M2_vrcmpyi_s0c	R1:0=vrcmpyi(R5:4,R7:6*)	e844c600
M2_vrcmpyr_s0	R1:0=vrcmpyr(R5:4,R7:6)	e804c620
M2_vrcmpyr_s0c	R1:0=vrcmpyr(R5:4,R7:6*)	e864c620
M2_vrcmpys_acc_s1_h	R1:0+=vrcmpys(R5:4,R7:6):<<1:sat:raw:hi	eaa4c680
M2_vrcmpys_acc_s1_l	R1:0+=vrcmpys(R5:4,R7:6):<<1:sat:raw:lo	eae4c680
M2_vrcmpys_s1_h	R1:0=vrcmpys(R5:4,R7:6):<<1:sat:raw:hi	e8a4c680
M2_vrcmpys_s1_l	R1:0=vrcmpys(R5:4,R7:6):<<1:sat:raw:lo	e8e4c680
M2_vrcmpys_s1rp_h	R0=vrcmpys(R5:4,R7:6):<<1:rnd:sat:raw:hi	e9a4c6c0
M2_vrcmpys_s1rp_l	R0=vrcmpys(R5:4,R7:6):<<1:rnd:sat:raw:lo	e9a4c6e0
M2_vrmac_s0	R1:0+=vrmpyh(R5:4,R7:6)	ea04c640
M2_vrmpy_s0	R1:0=vrmpyh(R5:4,R7:6)	e804c640
M2_xor_xacc	R0^=xor(R4,R6)	ef84c660
M4_and_and	R0&=and(R4,R6)	ef44c600
M4_and_andn	R0&=and(R4,~R6)	ef24c620
M4_and_or	R0&=or(R4,R6)	ef44c620
M4_and_xor	R0&=xor(R4,R6)	ef44c640
M4_cmpyi_wh	R0=cmpyiwh(R5:4,R6):<<1:rnd:sat	c504c680
M4_cmpyi_whc	R0=cmpyiwh(R5:4,R6*):<<1:rnd:sat	c504c6a0
M4_cmpyr_wh	R0=cmpyrwh(R5:4,R6):<<1:rnd:sat	c504c6c0
M4_cmpyr_whc	R0=cmpyrwh(R5:4,R6*):<<1:rnd:sat	c504c6e0
M4_mac_up_s1_sat	R0+=mpy(R4,R6):<<1:sat	ef64c600
M4_mpyri_addi	R0=add(#0,mpyi(R4,#0))	d804c000
M4_mpyri_addi	R0=add(#1,mpyi(R4,#1))	d804c021
M4_mpyri_addi	R0=add(#3,mpyi(R4,#3))	d804c063
M4_mpyri_addi	R0=add(#31,mpyi(R4,#31))	d824e0ff
M4_mpyri_addi	R0=add(#63,mpyi(R4,#63))	d8e4e0ff
M4_mpyri_addr	R0=add(R8,mpyi(R4,#0))	df84c008
M4_mpyri_addr	R0=add(R8,mpyi(R4,#1))	df84c028
M4_mpyri_addr	R0=add(R8,mpyi(R4,#3))	df84c068
M4_mpyri_addr	R0=add(R8,mpyi(R4,#31))	dfa4e0e8
M4_mpyri_addr	R0=add(R8,mpyi(R4,#63))	dfe4e0e8
M4_mpyri_addr_u2	R0=add(R8,mpyi(#0,R4))	df04c008
M4_mpyri_addr_u2	R0=add(R8,mpyi(#12,R4))	df04c068
M4_mpyri_addr_u2	R0=add(R8,mpyi(#124,R4))	df24e0e8
M4_mpyri_addr_u2	R0=add(R8,mpyi(#252,R4))	df64e0e8
M4_mpyri_addr_u2	R0=add(R8,mpyi(#4,R4))	df04c028
M4_mpyrr_addi	R0=add(#0,mpyi(R4,R6))	d704c600
M4_mpyrr_addi	R0=add(#1,mpyi(R4,R6))	d704c620
M4_mpyrr_addi	R0=add(#3,mpyi(R4,R6))	d704c660
M4_mpyrr_addi	R0=add(#31,mpyi(R4,R6))	d724e6e0
M4_mpyrr_addi	R0=add(#63,mpyi(R4,R6))	d764e6e0
M4_mpyrr_addr	R12=add(R8,mpyi(R12,R4))	e304cc08
M4_nac_up_s1_sat	R0-=mpy(R4,R6):<<1:sat	ef64c620
M4_or_and	R0|=and(R4,R6)	ef44c660
M4_or_andn	R0|=and(R4,~R6)	ef24c600
M4_or_or	R0|=or(R4,R6)	efc4c600
M4_or_xor	R0|=xor(R4,R6)	efc4c620
M4_pmpyw	R1:0=pmpyw(R4,R6)	e544c6e0
M4_pmpyw_acc	R1:0^=pmpyw(R4,R6)	e724c6e0
M4_vpmpyh	R1:0=vpmpyh(R4,R6)	e5c4c6e0
M4_vpmpyh_acc	R1:0^=vpmpyh(R4,R6)	e7a4c6e0
M4_vrmpyeh_acc_s0	R1:0+=vrmpyweh(R5:4,R7:6)	ea24c6c0
M4_vrmpyeh_acc_s1	R1:0+=vrmpyweh(R5:4,R7:6):<<1	eaa4c6c0
M4_vrmpyeh_s0	R1:0=vrmpyweh(R5:4,R7:6)	e844c680
M4_vrmpyeh_s1	R1:0=vrmpyweh(R5:4,R7:6):<<1	e8c4c680
M4_vrmpyoh_acc_s0	R1:0+=vrmpywoh(R5:4,R7:6)	ea64c6c0
M4_vrmpyoh_acc_s1	R1:0+=vrmpywoh(R5:4,R7:6):<<1	eae4c6c0
M4_vrmpyoh_s0	R1:0=vrmpywoh(R5:4,R7:6)	e824c640
M4_vrmpyoh_s1	R1:0=vrmpywoh(R5:4,R7:6):<<1	e8a4c640
M4_xor_and	R0^=and(R4,R6)	efc4c640
M4_xor_andn	R0^=and(R4,~R6)	ef24c640
M4_xor_or	R0^=or(R4,R6)	efc4c660
M4_xor_xacc	R1:0^=xor(R5:4,R7:6)	ca84c600
M5_vdmacbsu	R1:0+=vdmpybsu(R5:4,R7:6):sat	ea24c620
M5_vdmpybsu	R1:0=vdmpybsu(R5:4,R7:6):sat	e8a4c620
M5_vmacbsu	R1:0+=vmpybsu(R4,R6)	e7c4c620
M5_vmacbuu	R1:0+=vmpybu(R4,R6)	e784c620
M5_vmpybsu	R1:0=vmpybsu(R4,R6)	e544c620
M5_vmpybuu	R1:0=vmpybu(R4,R6)	e584c620
M5_vrmacbsu	R1:0+=vrmpybsu(R5:4,R7:6)	eac4c620
M5_vrmacbuu	R1:0+=vrmpybu(R5:4,R7:6)	ea84c620
M5_vrmpybsu	R1:0=vrmpybsu(R5:4,R7:6)	e8c4c620
M5_vrmpybuu	R1:0=vrmpybu(R5:4,R7:6)	e884c620
M6_vabsdiffb	R1:0=vabsdiffb(R7:6,R5:4)	e8e4c600
M6_vabsdiffub	R1:0=vabsdiffub(R7:6,R5:4)	e8a4c600
S2_addasl_rrri	R0=addasl(R6,R4,#0)	c404c600
S2_addasl_rrri	R0=addasl(R6,R4,#1)	c404c620
S2_addasl_rrri	R0=addasl(R6,R4,#3)	c404c660
S2_addasl_rrri	R0=addasl(R6,R4,#7)	c404c6e0
S2_asl_i_p	R1:0=asl(R5:4,#0)	8004c040
S2_asl_i_p	R1:0=asl(R5:4,#1)	8004c140
S2_asl_i_p	R1:0=asl(R5:4,#3)	8004c340
S2_asl_i_p	R1:0=asl(R5:4,#31)	8004df40
S2_asl_i_p	R1:0=asl(R5:4,#63)	8004ff40
S2_asl_i_p_acc	R1:0+=asl(R5:4,#0)	8204c0c0
S2_asl_i_p_acc	R1:0+=asl(R5:4,#1)	8204c1c0
S2_asl_i_p_acc	R1:0+=asl(R5:4,#3)	8204c3c0
S2_asl_i_p_acc	R1:0+=asl(R5:4,#31)	8204dfc0
S2_asl_i_p_acc	R1:0+=asl(R5:4,#63)	8204ffc0
S2_asl_i_p_and	R1:0&=asl(R5:4,#0)	8244c040
S2_asl_i_p_and	R1:0&=asl(R5:4,#1)	8244c140
S2_asl_i_p_and	R1:0&=asl(R5:4,#3)	8244c340
S2_asl_i_p_and	R1:0&=asl(R5:4,#31)	8244df40
S2_asl_i_p_and	R1:0&=asl(R5:4,#63)	8244ff40
S2_asl_i_p_nac	R1:0-=asl(R5:4,#0)	8204c040
S2_asl_i_p_nac	R1:0-=asl(R5:4,#1)	8204c140
S2_asl_i_p_nac	R1:0-=asl(R5:4,#3)	8204c340
S2_asl_i_p_nac	R1:0-=asl(R5:4,#31)	8204df40
S2_asl_i_p_nac	R1:0-=asl(R5:4,#63)	8204ff40
S2_asl_i_p_or	R1:0|=asl(R5:4,#0)	8244c0c0
S2_asl_i_p_or	R1:0|=asl(R5:4,#1)	8244c1c0
S2_asl_i_p_or	R1:0|=asl(R5:4,#3)	8244c3c0
S2_asl_i_p_or	R1:0|=asl(R5:4,#31)	8244dfc0
S2_asl_i_p_or	R1:0|=asl(R5:4,#63)	8244ffc0
S2_asl_i_p_xacc	R1:0^=asl(R5:4,#0)	8284c040
S2_asl_i_p_xacc	R1:0^=asl(R5:4,#1)	8284c140
S2_asl_i_p_xacc	R1:0^=asl(R5:4,#3)	8284c340
S2_asl_i_p_xacc	R1:0^=asl(R5:4,#31)	8284df40
S2_asl_i_p_xacc	R1:0^=asl(R5:4,#63)	8284ff40
S2_asl_i_r	R0=asl(R4,#0)	8c04c040
S2_asl_i_r	R0=asl(R4,#1)	8c04c140
S2_asl_i_r	R0=asl(R4,#15)	8c04cf40
S2_asl_i_r	R0=asl(R4,#3)	8c04c340
S2_asl_i_r	R0=asl(R4,#31)	8c04df40
S2_asl_i_r_acc	R0+=asl(R4,#0)	8e04c0c0
S2_asl_i_r_acc	R0+=asl(R4,#1)	8e04c1c0
S2_asl_i_r_acc	R0+=asl(R4,#15)	8e04cfc0
S2_asl_i_r_acc	R0+=asl(R4,#3)	8e04c3c0
S2_asl_i_r_acc	R0+=asl(R4,#31)	8e04dfc0
S2_asl_i_r_and	R0&=asl(R4,#0)	8e44c040
S2_asl_i_r_and	R0&=asl(R4,#1)	8e44c140
S2_asl_i_r_and	R0&=asl(R4,#15)	8e44cf40
S2_asl_i_r_and	R0&=asl(R4,#3)	8e44c340
S2_asl_i_r_and	R0&=asl(R4,#31)	8e44df40
S2_asl_i_r_nac	R0-=asl(R4,#0)	8e04c040
S2_asl_i_r_nac	R0-=asl(R4,#1)	8e04c140
S2_asl_i_r_nac	R0-=asl(R4,#15)	8e04cf40
S2_asl_i_r_nac	R0-=asl(R4,#3)	8e04c340
S2_asl_i_r_nac	R0-=asl(R4,#31)	8e04df40
S2_asl_i_r_or	R0|=asl(R4,#0)	8e44c0c0
S2_asl_i_r_or	R0|=asl(R4,#1)	8e44c1c0
S2_asl_i_r_or	R0|=asl(R4,#15)	8e44cfc0
S2_asl_i_r_or	R0|=asl(R4,#3)	8e44c3c0
S2_asl_i_r_or	R0|=asl(R4,#31)	8e44dfc0
S2_asl_i_r_sat	R0=asl(R4,#0):sat	8c44c040
S2_asl_i_r_sat	R0=asl(R4,#1):sat	8c44c140
S2_asl_i_r_sat	R0=asl(R4,#15):sat	8c44cf40
S2_asl_i_r_sat	R0=asl(R4,#3):sat	8c44c340
